variable_name,variable_content,question_number,likert,valuation_signing,grouping_variable,variable_type,comment_1,comment_2,grouping_variable_detailed,grouping_variable_aggregate2,scale_value,scale_value_2022,variable_name_previously,grouping_variable_aggregate_PAP,grouping_variable_disaggregate_PAP,grouping_variable_name_aggregate2,grouping_variable_name_detailed,binary_classification_1,binary_classification_0,include,grouping_variable_very_detailed
Q10_6,Please select whether you agree or disagree with the following statements. - I often feel a valuable part of society.,48,1,-1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_collective_purpose,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: collective purpose,"1,2,3","4,5,6,7",1,lamb_collective_purpose
Q10_7,Please select whether you agree or disagree with the following statements. - My days are usually well organized.,49,1,-1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_time_structure,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: time structure,"1,2,3","4,5,6,7",1,lamb_time_structure
Q10_8,Please select whether you agree or disagree with the following statements. - I rarely catch up with the things I need to do.,50,1,1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_time_structure,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: time structure,"1,2,3","4,5,6,7",1,lamb_time_structure
Q10_9,Please select whether you agree or disagree with the following statements. - I am usually important to my friends.,51,1,-1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_status,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: social recognition,"1,2,3","4,5,6,7",1,lamb_status
Q10_10,Please select whether you agree or disagree with the following statements. - My friends rarely value my company.,52,1,1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_status,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: social recognition,"1,2,3","4,5,6,7",1,lamb_status
Q10_11,Please select whether you agree or disagree with the following statements. - My income usually allows me to do the things I want.,53,1,-1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_financial_strain,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: financial strain,"1,2,3","4,5,6,7",1,lamb_financial_strain
Q10_12,Please select whether you agree or disagree with the following statements. - My income usually does not allow me to socialise as often as I like.,54,1,1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_financial_strain,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: financial strain,"1,2,3","4,5,6,7",1,lamb_financial_strain
Q105_First Click,Timing - First Click,55,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q105_Last Click,Timing - Last Click,56,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q105_Page Submit,Timing - Page Submit,57,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q105_Click Count,Timing - Click Count,58,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q14,"Imagine a ladder showing where people stand in the society. At the top are the people who are the best off â€” those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off â€” those who have the least money, the least education, and the least respected jobs or no job. Where would you place yourself on this ladder?",59,1,-1,status,ordinal,,,,status,10,10,,social_outcomes,status,Social status,Social status,"1,2,3,4,5","6,7,8,9,10",1,status_present_ladder
Q15,Over the past half year did your status in societyâ€¦,60,1,-1,status,ordinal,,,,status,7,7,,social_outcomes,status,Social status,Social status,"1,2,3","4,5,6,7",1,status_past
Q12,"Thinking of the future, do you expect your status to...",61,1,-1,status,ordinal,,,,status,7,7,Q22,social_outcomes,status,Social status,Social status,"1,2,3","4,5,6,7",1,status_future
Q106_First Click,Timing - First Click,62,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q106_Last Click,Timing - Last Click,63,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q106_Page Submit,Timing - Page Submit,64,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q106_Click Count,Timing - Click Count,65,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q18,How many new people have you met in the past month? Please type the approximate number.,66,0,1,social_inclusion,continuous,,,,social_inclusion,10,10,,social_outcomes,social_inclusion,Social inclusion,Social inclusion,>3,"1,2,3",1,social_inclusion
Q19,Which of the following statements best describes your current relationship status?,67,0,-1,social_inclusion,ordinal,,,,social_inclusion,4,4,,social_outcomes,social_inclusion,Social inclusion,Social inclusion,"1,2","3,4",1,social_inclusion_relationship
Q107_First Click,Timing - First Click,68,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q107_Last Click,Timing - Last Click,69,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q107_Page Submit,Timing - Page Submit,70,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q107_Click Count,Timing - Click Count,71,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q11_1,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 1",72,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_2,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 2",73,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_3,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 3",74,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_4,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 4",75,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_5,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 5",76,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_6,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 6",77,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_7,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 7",78,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_8,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 8",79,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_9,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 9",80,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_10,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 11",81,0,0,social_network,string,,,,social_network,,,,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_11,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 11",82,0,0,social_network,string,,,,social_network,,,Q11_10,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_12,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 12",83,0,0,social_network,string,,,,social_network,,,Q11_11,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_13,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 13",84,0,0,social_network,string,,,,social_network,,,Q11_12,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_14,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 14",85,0,0,social_network,string,,,,social_network,,,Q11_13,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_15,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 15",86,0,0,social_network,string,,,,social_network,,,Q11_14,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_16,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 16",87,0,0,social_network,string,,,,social_network,,,Q11_15,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_17,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 17",88,0,0,social_network,string,,,,social_network,,,Q11_16,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_18,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 18",89,0,0,social_network,string,,,,social_network,,,Q11_17,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q11_19,"From time to time, most people discuss work-related and job-search
issues with other people. Looking back over the last 6 months, who are the
people with whom you discussed work-related and job-search issues with?


In the boxes below, please list the FIRST NAME and LAST NAME INITIAL of
the people with whom you discuss important matters. E.g., Maria Maier would be
recorded as ""Maria M"".


Please list only one name per box. If two people on your list share the
same first name and last initial, use numbers to distinguish them (e.g.,
""Maria M"" and ""Maria M2"").
If you don't discuss important matters with anyone, just leave the fields blank. - Person 19",90,0,0,social_network,string,,,,social_network,,,Q11_18,social_outcomes,social_inclusion,Social network,Social network,"6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5",1,social_network_names
Q108_First Click,Timing - First Click,92,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q108_Last Click,Timing - Last Click,93,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q108_Page Submit,Timing - Page Submit,94,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q108_Click Count,Timing - Click Count,95,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q13_1,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 1",96,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 10,,social_network,7,7,Q13_x1,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_2,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 2",97,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 11,,social_network,7,7,Q13_x2,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_3,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 3",98,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 12,,social_network,7,7,Q13_x3,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_4,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 4",99,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 13,,social_network,7,7,Q13_x4,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_5,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 5",100,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 14,,social_network,7,7,Q13_x5,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_6,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 6",101,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 15,,social_network,7,7,Q13_x6,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_7,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 7",102,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 16,,social_network,7,7,Q13_x7,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_8,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 8",103,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 17,,social_network,7,7,Q13_x8,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
Q13_9,"Below is a list of the names you provided on the prior page. Please answer the questions below about each person you named.
How frequently are you in contact with each person? - Person 9",104,1,-1,social_network,ordinal,,Only 19 persons due to person 11 included twice instead of person 18,,social_network,7,7,Q13_x9,social_outcomes,social_inclusion,Social network,Social network,"1,2,3","4,5,6,7",1,social_network_frequency
